Date,Hour,Month,Gender,Age,Nationality,Day
2024-01-01,14,1,F,25,Local,Monday
2024-01-01,15,1,F,42,Local,Monday
2024-01-01,17,1,F,68,Local,Monday
2024-01-01,10,1,M,40,Local,Monday
2024-01-01,10,1,F,31,Local,Monday
2024-01-01,11,1,M,38,Local,Monday
2024-01-01,16,1,M,29,Local,Monday
2024-01-01,12,1,F,44,Local,Monday
2024-01-01,13,1,F,45,Local,Monday
2024-01-01,12,1,F,29,Local,Monday
2024-01-01,17,1,M,37,Local,Monday
2024-01-01,18,1,F,70,Local,Monday
2024-01-01,15,1,M,46,Local,Monday
2024-01-01,14,1,M,69,Local,Monday
2024-01-01,18,1,F,51,Local,Monday
2024-01-01,17,1,F,43,Local,Monday
2024-01-01,13,1,F,39,Local,Monday
2024-01-01,13,1,M,42,Local,Monday
2024-01-01,11,1,F,31,Local,Monday
2024-01-01,13,1,F,40,Foreigner,Monday
2024-01-01,13,1,F,39,Foreigner,Monday
2024-01-01,17,1,F,24,Local,Monday
2024-01-01,18,1,F,35,Local,Monday
2024-01-01,16,1,F,28,Local,Monday
2024-01-01,15,1,M,38,Local,Monday
2024-01-01,15,1,F,30,Local,Monday
2024-01-01,10,1,M,22,Foreigner,Monday
2024-01-01,11,1,F,42,Foreigner,Monday
2024-01-01,10,1,M,66,Foreigner,Monday
2024-01-01,12,1,F,69,Local,Monday
2024-01-01,18,1,M,70,Local,Monday
2024-01-01,13,1,F,28,Local,Monday
2024-01-01,13,1,M,28,Foreigner,Monday
2024-01-01,18,1,M,44,Local,Monday
2024-01-01,14,1,M,67,Local,Monday
2024-01-01,11,1,F,67,Foreigner,Monday
2024-01-01,18,1,M,26,Foreigner,Monday
2024-01-01,10,1,M,36,Local,Monday
2024-01-01,18,1,F,50,Foreigner,Monday
2024-01-01,17,1,F,70,Local,Monday
2024-01-01,13,1,M,55,Local,Monday
2024-01-01,16,1,F,44,Foreigner,Monday
2024-01-01,15,1,F,70,Local,Monday
